city,temperature,humidity,timestamp
Bloemfontein,17.0°C,40,2026-06-19 21:55:42
Durban,24.6,-1,2026-06-19 21:55:42
Cape Town,23.4,56,2026-06-19 21:55:42
Pretoria,11.7°C,73,2026-06-19 21:55:42
Cape Town,22.1,39,2026-06-19 21:55:42
Durban,27.2,71,2026-06-19 21:55:42
Pretoria,,27,2026-06-19 21:55:42
Bloemfontein,34.3°C,85,2026-06-19 21:55:42
Johannesburg,,22,19/06/2026
Cape Town,25.4,57,2026-06-19 21:55:42
Durban,29.8°C,22,2026-06-19 21:55:42
Pretoria,12.9,46,2026-06-19 21:55:42
Bloemfontein,29.1,57,19/06/2026
Bloemfontein,34.5°C,90,2026-06-19 21:55:42
Durban,11.7,92,2026-06-19 21:55:42
Durban,17.2,,2026-06-19 21:55:42
Cape Town,15.8,69,2026-06-19 21:55:42
Durban,,90,2026-06-19 21:55:42
Durban,27.7,-1,19/06/2026
Durban,13.6,53,2026-06-19 21:55:42
